design        , n, gm_synth_pct        , gm_pnr_pct         , retention           , label
double_fpu    , 3,  19.179494167078094 , 23.264967719901364 , 1.2130125808967398  , reliable
aes           , 3,  24.65008631542023  , 21.713691055593554 , 0.8808768771738633  , reliable
systolic_tpu  , 3,  69.01448196540059  , 56.048906927921664 , 0.8121325456883234  , reliable
sha512        , 3,  37.8062359735563   , 29.407787764033255 , 0.7778554782497424  , reliable
reed_solomon  , 3,  57.682744050348525 , 43.795649830987735 , 0.7592504578624172  , reliable
viterbi       , 3, 128.64411625595739  , 70.75834972667792  , 0.5500317603791006  , reliable
jpeg_encoder  , 3,  28.333664506729917 , 15.34841244692906  , 0.5417023429243841  , reliable
verilog_axi   , 3,  34.52200757440862  , 4.206367957642132  , 0.12184598327822449 , unreliable
uberddr3      , 3,  15.042930284632018 , 0.4064310931679138 , 0.0270180799536861  , unreliable
wb_dma        , 3, 609.8774460015113   , 12.803159934126063 , 0.020993004443870412, artifact
e203          , 3,  11.305385076161901 , -0.852623905202532 , -0.07541750231934531, unreliable
bitonic_sorter, 3,   3.7517451974290905, -1.9080632163024136, -0.5085801715985209 , unreliable
